outcome_concept_id,cohort_name,standard_concept,standard_concept_caption,invalid_reason,invalid_reason_caption,concept_code,domain_id,vocabulary_id,concept_class_id,valid_start_date,valid_end_date,cohort_id
4002650,Plantar fasciitis,S,Standard,V,Valid,202882003,Condition,SNOMED,Disorder,1012453200000,4102376400000,1056
194997,Prostatitis,S,Standard,V,Valid,9713002,Condition,SNOMED,Disorder,1012453200000,4102376400000,1057
374044,Ptosis of eyelid,S,Standard,V,Valid,11934000,Condition,SNOMED,Disorder,1012453200000,4102376400000,1058
73300,Radial styloid tenosynovitis,S,Standard,V,Valid,21794005,Condition,SNOMED,Disorder,1012453200000,4102376400000,1059
372409,Sciatica,S,Standard,V,Valid,23056005,Condition,SNOMED,Disorder,1012453200000,4102376400000,1060
4213628,Sickling disorder due to hemoglobin S,S,Standard,V,Valid,417357006,Condition,SNOMED,Disorder,1122782400000,4102376400000,1061
313459,Sleep apnea,S,Standard,V,Valid,73430006,Condition,SNOMED,Disorder,1012453200000,4102376400000,1062
4142875,Solitary nodule of lung,S,Standard,V,Valid,427359005,Condition,SNOMED,Clinical Finding,1185854400000,4102376400000,1063
133141,Tinea pedis,S,Standard,V,Valid,6020002,Condition,SNOMED,Disorder,1012453200000,4102376400000,1064
201254,Type 1 diabetes mellitus,S,Standard,V,Valid,46635009,Condition,SNOMED,Disorder,1012453200000,4102376400000,1065
201916,Ureteric stone,S,Standard,V,Valid,31054009,Condition,SNOMED,Disorder,1012453200000,4102376400000,1066
4092565,Uterine prolapse,S,Standard,V,Valid,24976005,Condition,SNOMED,Disorder,1012453200000,4102376400000,1067
436070,Vitamin D deficiency,S,Standard,V,Valid,34713006,Condition,SNOMED,Disorder,1012453200000,4102376400000,1068
